Distance (ft),Signal strength (dBm) - 2.4GHz
1,-22
2,-30
3,-28
3,-34
4,-28
4,-27
5,-31
5,-32
6,-36
6,-33
7,-40
7,-38
8,-44
8,-38
8,-42
8,-43
8,-41
9,-42
9,-46
9,-46
9,-48
10,-46
10,-43
10,-44
10,-44
10,-43
10,-45
10,-41
15,-45
15,-49
15,-47
20,-53
20,-52
20,-54
25,-51
25,-50
25,-54
30,-54
30,-53
30,-52
30,-60
35,-59
35,-65
35,-65
35,-66
35,-66
40,-60
40,-64
40,-61
40,-66
45,-64
45,-65
45,-68
45,-63
50,-64
50,-62
50,-66
50,-63
50,-69
50,-69
50,-69
50,-71
50,-64
50,-65
60,-67
60,-68
60,-69
60,-66
60,-72
70,-65
70,-81
80,-78
80,-73
80,-73
80,-74
90,-70
90,-69
90,-71
90,-72
90,-73
100,-80
100,-79
100,-76
100,-76
100,-73
100,-77
125,-75
125,-78
125,-78
125,-79
125,-80
125,-82
150,-72
150,-84
150,-84
150,-85
175,-93
175,-97
175,-98
200,-95